nome,criado_em,atualizado_em,estrelas,linguagem,prs_merged,releases,issues_total,issues_fechadas,idade_dias,dias_desde_atualizacao,razao_issues_fechadas
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2026-03-06T02:08:49Z,472576,Markdown,155,0,888,653,2857,-1,0.7354
sindresorhus/awesome,2014-07-11T13:42:37Z,2026-03-06T02:06:10Z,442904,,694,0,365,349,4255,-1,0.9562
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2026-03-06T02:06:42Z,437813,TypeScript,27772,0,21154,20978,4089,-1,0.9917
public-apis/public-apis,2016-03-20T23:49:42Z,2026-03-06T02:04:36Z,404556,Python,1872,0,839,833,3636,-1,0.9928
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2026-03-06T01:50:43Z,383639,Python,7328,0,1263,1227,4528,-1,0.9715
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2026-03-06T01:37:29Z,350253,TypeScript,4073,1,3085,3054,3277,-1,0.99
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2026-03-06T01:53:03Z,337617,,415,0,525,454,3559,-1,0.8648
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2026-03-06T02:08:42Z,337403,Python,203,0,360,110,3294,-1,0.3056
vinta/awesome-python,2014-06-27T21:00:06Z,2026-03-06T02:07:44Z,285770,Python,641,0,0,0,4269,-1,
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2026-03-06T02:06:11Z,277612,,2395,1,807,807,3930,-1,1.0
996icu/996.ICU,2019-03-26T07:31:14Z,2026-03-06T02:06:42Z,275652,,1072,0,0,0,2536,-1,
openclaw/openclaw,2025-11-24T10:16:47Z,2026-03-06T02:09:06Z,265825,TypeScript,2748,59,15406,10038,101,-1,0.6516
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2026-03-06T02:01:34Z,260295,,182,0,227,82,3249,-1,0.3612
facebook/react,2013-05-24T16:15:54Z,2026-03-06T01:28:03Z,243641,JavaScript,12774,118,14385,13576,4668,-1,0.9438
torvalds/linux,2011-09-04T22:48:12Z,2026-03-06T02:08:28Z,221064,C,0,0,0,0,5296,-1,
TheAlgorithms/Python,2016-07-16T09:44:01Z,2026-03-05T23:38:17Z,218369,Python,3046,0,1702,1540,3519,-1,0.9048
vuejs/vue,2013-07-29T03:24:51Z,2026-03-06T01:42:01Z,209957,TypeScript,1136,249,10027,9668,4602,-1,0.9642
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2026-03-06T02:06:11Z,208828,,122,0,0,0,2812,-1,
ossu/computer-science,2014-05-04T00:18:39Z,2026-03-06T00:37:14Z,202147,HTML,305,0,666,654,4323,-1,0.982
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2026-03-06T01:46:53Z,195734,JavaScript,304,0,371,233,2903,-1,0.628
tensorflow/tensorflow,2015-11-07T01:19:20Z,2026-03-06T01:01:31Z,194007,C++,42330,221,41196,40300,3771,-1,0.9783
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2026-03-06T01:15:58Z,185131,Shell,3515,0,5034,4891,6033,-1,0.9716
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2026-03-05T23:44:57Z,184462,,370,0,949,949,4492,-1,1.0
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2026-03-06T01:59:53Z,183818,,374,0,578,449,2942,-1,0.7768
microsoft/vscode,2015-09-03T20:23:38Z,2026-03-06T02:05:57Z,182323,TypeScript,43337,197,232210,218773,3836,-1,0.9421
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2026-03-06T01:27:35Z,182201,Python,3970,94,3739,3505,1085,-1,0.9374
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2026-03-06T01:51:29Z,179314,Jupyter Notebook,13,0,711,188,2926,-1,0.2644
n8n-io/n8n,2019-06-22T09:24:21Z,2026-03-06T02:04:30Z,177767,TypeScript,14089,547,8223,7747,2448,-1,0.9421
flutter/flutter,2015-03-06T22:54:58Z,2026-03-06T02:06:54Z,175439,Dart,46935,7,112444,100284,4017,-1,0.8919
twbs/bootstrap,2011-07-29T21:19:00Z,2026-03-06T00:49:56Z,174025,MDX,9114,94,22848,22459,5333,-1,0.983
github/gitignore,2010-11-08T20:17:14Z,2026-03-06T00:44:22Z,172835,,1727,0,0,0,5596,-1,
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2026-03-06T01:53:46Z,167808,Batchfile,5,29,908,906,2244,-1,0.9978
avelino/awesome-go,2014-07-06T13:42:15Z,2026-03-06T02:06:12Z,166651,Go,3610,0,727,713,4260,-1,0.9807
ollama/ollama,2023-06-26T19:39:32Z,2026-03-06T01:48:47Z,164209,Go,3073,189,9490,7501,983,-1,0.7904
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2026-03-06T01:11:36Z,161509,Python,1884,27,7886,5486,1291,-1,0.6957
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2026-03-06T01:55:44Z,160083,,317,0,258,136,3942,-1,0.5271
huggingface/transformers,2018-10-29T13:56:00Z,2026-03-06T01:49:44Z,157453,Python,18738,244,18664,17588,2684,-1,0.9423
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2026-03-06T02:09:12Z,154054,Java,1213,0,1131,1057,2859,-1,0.9346
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2026-03-06T02:09:29Z,150839,HTML,1,0,0,0,644,-1,
f/prompts.chat,2022-12-05T13:54:13Z,2026-03-06T02:02:01Z,150211,HTML,200,0,131,128,1186,-1,0.9771
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2026-03-06T02:08:23Z,149784,Python,3229,131,11123,9305,1956,-1,0.8366
airbnb/javascript,2012-11-01T23:13:50Z,2026-03-06T02:07:16Z,148096,JavaScript,813,0,1401,1299,4871,-1,0.9272
langflow-ai/langflow,2023-02-08T22:28:03Z,2026-03-06T01:29:20Z,145286,Python,5792,285,3160,2819,1121,-1,0.8921
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2026-03-06T01:57:12Z,144905,Python,17,63,2963,2681,3592,-1,0.9048
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2026-03-06T01:51:56Z,139802,Python,1646,341,26819,23190,5604,-1,0.8647
vercel/next.js,2016-10-05T23:32:51Z,2026-03-06T01:41:51Z,138169,JavaScript,26138,1000,24313,22260,3437,-1,0.9156
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2026-03-05T23:51:39Z,138003,TypeScript,486,0,120,76,3530,-1,0.6333
Genymobile/scrcpy,2017-11-21T18:00:27Z,2026-03-06T02:08:07Z,136539,C,123,50,5960,3285,3026,-1,0.5512
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2026-03-06T02:03:24Z,132923,Markdown,244,0,963,962,2206,-1,0.999
golang/go,2014-08-19T04:33:40Z,2026-03-06T01:44:30Z,132900,Go,1,0,70411,60980,4216,-1,0.8661
langgenius/dify,2023-04-12T07:40:24Z,2026-03-06T02:01:52Z,131352,TypeScript,9722,158,16742,16338,1058,-1,0.9759
microsoft/PowerToys,2019-05-01T17:44:02Z,2026-03-06T01:56:49Z,130250,C#,6349,127,38246,30147,2500,-1,0.7882
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,2026-03-06T02:08:27Z,128454,,46,0,189,108,365,-1,0.5714
langchain-ai/langchain,2022-10-17T02:58:36Z,2026-03-06T02:07:19Z,128380,Python,16038,1000,9119,8874,1235,-1,0.9731
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2026-03-05T22:40:04Z,126955,JavaScript,836,12,300,300,3018,0,1.0
open-webui/open-webui,2023-10-06T22:08:27Z,2026-03-06T02:08:55Z,125891,Python,3314,152,7801,7614,881,-1,0.976
facebook/react-native,2015-01-09T18:10:16Z,2026-03-06T01:59:42Z,125504,C++,957,444,27578,26830,4073,-1,0.9729
krahets/hello-algo,2022-11-04T11:08:34Z,2026-03-06T01:32:50Z,122685,Java,968,10,282,274,1217,-1,0.9716
kubernetes/kubernetes,2014-06-06T22:56:04Z,2026-03-06T01:59:47Z,120948,Go,64010,784,48631,46784,4290,-1,0.962
electron/electron,2013-04-12T01:47:36Z,2026-03-06T02:05:00Z,120319,C++,24552,1000,21477,20739,4710,-1,0.9656
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2026-03-06T01:56:53Z,118671,HTML,2900,0,0,0,4005,-1,
excalidraw/excalidraw,2020-01-02T01:04:43Z,2026-03-06T01:57:18Z,118100,TypeScript,3838,14,4643,2539,2254,-1,0.5468
anomalyco/opencode,2025-04-30T20:08:00Z,2026-03-06T02:09:05Z,116678,TypeScript,2583,728,9801,5087,309,-1,0.519
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2026-03-06T01:55:07Z,116407,,282,3,0,0,4504,-1,
nodejs/node,2014-11-26T19:57:11Z,2026-03-06T01:07:49Z,116090,JavaScript,11893,486,20089,18333,4117,-1,0.9126
d3/d3,2010-09-27T17:22:42Z,2026-03-05T20:47:03Z,112468,Shell,494,194,2239,2229,5638,0,0.9955
iptv-org/iptv,2018-11-14T22:00:57Z,2026-03-06T01:56:05Z,112440,TypeScript,6821,0,21743,21447,2668,-1,0.9864
mrdoob/three.js,2010-03-23T18:58:01Z,2026-03-05T22:49:53Z,111195,JavaScript,15235,175,13507,13065,5826,0,0.9673
rust-lang/rust,2010-06-16T20:39:03Z,2026-03-06T01:41:50Z,110930,Rust,69560,147,61600,50473,5741,-1,0.8194
